,"C=2, GMHI2"
557,-0.37225870678237427
558,1.5521694122600058
559,1.6669342207427016
560,1.1858902814787236
561,1.9285597352710309
562,2.558136764603464
563,2.57617837710967
564,2.342529333607009
565,1.6804864564183335
566,0.5001300782533343
567,-0.4323577553694805
568,1.4998358739882498
569,-0.5605460714645552
570,2.075384050601232
571,1.60876990434793
572,1.4024174323403154
573,1.7230520715737911
574,2.4078909682400327
575,1.1532176861359238
576,1.3809217662875186
577,2.0619083566965832
578,-0.040921025637125734
579,0.26704455932291105
580,2.983323280710271
581,1.7579979538932173
582,1.1663714721689977
583,2.2025475977055593
584,1.7000642707744855
585,1.7595047734721305
586,2.2656297241537633
587,0.7390712860918609
588,0.4743335590939142
589,1.3739633125840294
590,2.192868455513317
591,1.9462054352546514
592,1.1835516069842542
593,1.4548857872456156
594,2.4628181360460633
595,0.6857313612675996
596,-1.4006549251418052
597,1.2021766886731056
598,0.6483453176791433
599,0.8201696726728351
600,2.025031055933405
601,0.9702927095909059
602,0.1815273310231108
603,-1.1002317044752408
604,0.3543217711642304
605,0.5397177281083085
606,1.3870542487257975
607,0.5659448018185858
608,0.83119546316451
609,0.5753726550993822
610,2.01539560853751
611,-0.05381053957283032
612,1.1527316588458238
613,0.6740443517389607
614,1.57175808116818
615,0.4224562128086681
616,1.0976069186886903
617,1.9158369051180384
618,0.5848545934890315
619,1.9389521948485935
620,1.1661702898944935
621,1.8974848714175105
622,2.8374647409447427
623,0.741955162063624
624,1.0580395846192006
625,0.5865459510360616
626,1.0134940340809702
627,1.4300987381125814
628,1.849123922215239
629,0.9736355197612261
630,1.836009043978669
631,1.9731700221130315
632,0.9186527654045624
633,2.0682956332152385
634,1.1435196572874136
635,-1.0929572380477535
636,2.447392580541219
637,0.7193707555235822
638,1.6127178573115617
639,1.623361555855141
640,1.5432326593795973
641,1.1621621862808966
642,0.9726839778052179
643,-0.73288244667852
644,0.8284658700513775
645,0.6867343978810251
646,2.054684688800866
647,1.2633014546936865
648,1.3090099944002365
649,1.5217585074607607
650,1.7437780711620972
651,0.42371941441587885
652,0.907058461589486
653,1.2009012833644743
654,2.490468241922182
655,2.5533764607188356
656,0.40936107281577205
657,0.6853467193042888
658,2.078978401823426
659,0.5501643890987558
660,1.9480618446586853
661,1.5201341184120105
662,1.0385093502634624
663,2.281180933101396
664,0.15554280285595606
665,2.357849219241908
666,1.6805891950866623
667,-0.2496358238396275
668,1.8956102729288327
669,0.7246636784202122
670,1.3008676292571901
671,1.556625656336248
672,1.7209701093274334
673,1.2702259382877847
674,0.6224741384558012
675,1.0209921576228518
676,1.834478483393297
677,1.7133288612403659
678,2.064558039575025
679,0.6778813156705005
680,1.7161909245437574
681,1.5962826584812682
682,0.4353470782791693
683,1.87357440971561
684,-0.7948398347648126
685,-0.17658262323277624
686,1.1541820928198352
687,0.11986908520821965
688,0.8603317027103005
689,0.834330637076963
690,1.5263293795634219
691,0.6330514344241007
692,0.28223583926936424
693,1.0498275286446905
694,0.48775707670429475
695,0.8716802810505722
696,1.3749904005663507
697,2.0049649816059203
698,1.765478192940074
699,-0.26800714129560366
700,0.0426191591721143
701,-0.23836530223847618
702,1.8680229500541843
703,0.8171072782009845
704,-0.24197969765822808
705,2.4513781814948725
706,1.7407495813312686
707,0.2901361117468262
708,0.5869436377533187
709,1.7119516452698404
710,-0.02784742532323438
711,1.4570920779759058
712,1.7229934312690331
713,1.444888078185148
714,-0.2019001641772104
715,0.2956535954036725
716,0.8744377315279106
717,1.1916391067301206
