,n,bal,acc,thresh,C
552,5264,0.773748936194196,0.791983282674772,1.5,2.0
78,7157,0.7928769029272895,0.7905547016906526,0.4,0.03
780,5072,0.7695670447587717,0.7900236593059937,1.7000000000000002,3.0
4,6556,0.7899163462094009,0.7895057962172056,0.4,0.01
383,5922,0.775733312695698,0.7892603850050659,1.1,1.0
551,5500,0.7690738110046269,0.7872727272727272,1.4000000000000001,2.0
130,7025,0.7860540851485647,0.7856227758007117,0.5,0.1
779,5284,0.7647439086618191,0.7852006056018168,1.6,3.0
284,6564,0.7797706445516148,0.7851919561243145,0.7000000000000001,0.3
200,6828,0.7803145073324446,0.7833919156414763,0.6000000000000001,0.2
382,6164,0.7689921394115655,0.782608695652174,1.0,1.0
778,5494,0.7625627635952831,0.7824899890789953,1.5,3.0
33,7509,0.7831349011349011,0.7817285923558397,0.30000000000000004,0.02
550,5726,0.7635132609917876,0.7809989521480964,1.3,2.0
777,5697,0.7596764948893606,0.7790064946463051,1.4000000000000001,3.0
77,7627,0.7806277888905986,0.778418775403173,0.30000000000000004,0.03
129,7384,0.7768039444545145,0.7766793066088841,0.4,0.1
3,7158,0.7759202598758044,0.7757753562447611,0.30000000000000004,0.01
549,5968,0.7579489936458896,0.7749664879356568,1.2000000000000002,2.0
283,6920,0.7695444116538253,0.7748554913294797,0.6000000000000001,0.3
199,7189,0.7716751119641715,0.7743775212129642,0.5,0.2
381,6423,0.760824633635041,0.7740931029114121,0.9,1.0
776,5928,0.7540183596880762,0.7729419703103914,1.3,3.0
548,6197,0.7536950730589571,0.770856866225593,1.1,2.0
775,6154,0.7506504260444096,0.7692557686057848,1.2000000000000002,3.0
380,6690,0.7550389015638808,0.7680119581464873,0.8,1.0
32,8013,0.7678450167555095,0.7670036191189318,0.2,0.02
76,8102,0.7684640032389287,0.7667242656134288,0.2,0.03
282,7253,0.7610494149057518,0.7661657245277816,0.5,0.3
198,7535,0.7617581106499401,0.7645653616456536,0.4,0.2
547,6466,0.7469096880193955,0.7643055985153109,1.0,2.0
128,7796,0.7632441404895638,0.7635967162647511,0.30000000000000004,0.1
2,7774,0.7622455270312102,0.7630563416516594,0.2,0.01
774,6408,0.7440033916469933,0.7624843945068664,1.1,3.0
379,6990,0.7491731988558303,0.7612303290414878,0.7000000000000001,1.0
281,7605,0.754482109227872,0.759500328731098,0.4,0.3
546,6683,0.742026207844966,0.7590902289390992,0.9,2.0
773,6605,0.739287900944709,0.7577592732778198,1.0,3.0
31,8528,0.7567572359983354,0.7560975609756098,0.1,0.02
197,7917,0.7529274325048974,0.7558418592901351,0.30000000000000004,0.2
378,7267,0.743074934314451,0.7550571074721343,0.6000000000000001,1.0
545,6972,0.7373234090721974,0.7535857716580608,0.8,2.0
75,8595,0.7546607799633482,0.7533449680046539,0.1,0.03
127,8225,0.7504383074847958,0.7516109422492401,0.2,0.1
772,6834,0.7328064672725598,0.7506584723441615,0.9,3.0
280,7968,0.7445609125652446,0.7498744979919679,0.30000000000000004,0.3
544,7210,0.7308025911286781,0.7472954230235783,0.7000000000000001,2.0
1,8409,0.7459288483498565,0.7469378047330242,0.1,0.01
377,7562,0.7351102158800151,0.7464956360751124,0.5,1.0
771,7102,0.7265904382212747,0.7444381864263587,0.8,3.0
196,8281,0.7405716241210202,0.7442337881898321,0.2,0.2
30,9061,0.743452117650223,0.7424125372475444,0.0,0.02
543,7466,0.7250356988806491,0.7410929547281008,0.6000000000000001,2.0
74,9065,0.7419640777308507,0.7406508549365692,0.0,0.03
279,8348,0.7342542354647463,0.7395783421178725,0.2,0.3
126,8649,0.7386423981383239,0.7392762169036883,0.1,0.1
770,7341,0.7206644814601633,0.73872769377469,0.7000000000000001,3.0
376,7852,0.725275447780815,0.7366276107997962,0.4,1.0
769,7577,0.7172715972426434,0.7349874620562228,0.6000000000000001,3.0
542,7716,0.7194255879429108,0.7349663037843442,0.5,2.0
0,9053,0.7321656465193158,0.7334585220368939,0.0,0.01
195,8660,0.7291814586574021,0.7326789838337182,0.1,0.2
375,8145,0.7185034162833159,0.7302639656230816,0.30000000000000004,1.0
278,8692,0.7247629322546283,0.7292913023469857,0.1,0.3
768,7808,0.7123458573021719,0.7292520491803278,0.5,3.0
125,9067,0.7264580127904314,0.7273629645968899,0.0,0.1
541,7977,0.7115901334682593,0.7269650244452802,0.4,2.0
374,8451,0.7125609979820217,0.7239379955034907,0.2,1.0
767,8049,0.7074663355696127,0.723692384147099,0.4,3.0
194,9067,0.7173400049432439,0.7210764310135657,0.0,0.2
540,8255,0.7046683346316648,0.719442761962447,0.30000000000000004,2.0
277,9067,0.7137195511670344,0.7186500496305283,0.0,0.3
373,8756,0.7055418748190676,0.7167656464138876,0.1,1.0
766,8302,0.7005463715636564,0.7164538665381835,0.30000000000000004,3.0
539,8521,0.6994669088867999,0.7134139185541604,0.2,2.0
372,9067,0.6987940278902582,0.7097165545384361,0.0,1.0
765,8564,0.6936830814303048,0.7093647828117702,0.2,3.0
538,8775,0.6930059189742726,0.707008547008547,0.1,2.0
764,8822,0.688448604166274,0.7034686012242122,0.1,3.0
537,9067,0.6871838542779233,0.7011139296349399,0.0,2.0
763,9067,0.6832263925063139,0.6978052277489798,0.0,3.0
